industry,city,investment_type,founded_year,no_of_founders,amount_in_inr,city_tier,market_size_category
Logistics,Delhi,Series A,2019,3,20653671,Tier-1,Medium
E-commerce,Delhi,Series B,2020,3,111121984,Tier-1,Large
AgriTech,Pune,Series B,2013,2,101845127,Tier-2,Small
AgriTech,Chennai,Pre-Seed,2020,3,952335,Tier-2,Small
AI,Mumbai,Series C,2012,5,225035942,Tier-1,Large
Logistics,Bangalore,Pre-Seed,2021,3,1217597,Tier-1,Medium
Logistics,Hyderabad,Series B,2021,2,71535388,Tier-2,Medium
AI,Mumbai,Seed,2014,5,5569610,Tier-1,Large
Logistics,Bangalore,Seed,2017,4,5360730,Tier-1,Medium
SaaS,Delhi,Series A,2022,4,19745229,Tier-1,Large
EdTech,Noida,Series B,2014,4,172593088,Tier-2,Small
EdTech,Pune,Series A,2010,2,31856089,Tier-2,Small
Logistics,Noida,Seed,2011,2,4139826,Tier-2,Medium
SaaS,Hyderabad,Pre-Seed,2011,5,1938011,Tier-2,Large
SaaS,Hyderabad,Series A,2018,4,45171201,Tier-2,Large
FinTech,Mumbai,Pre-Seed,2022,1,1117405,Tier-1,Large
FinTech,Chennai,Series A,2019,3,16698803,Tier-2,Large
HealthTech,Bangalore,Seed,2022,4,5672804,Tier-1,Medium
HealthTech,Pune,Seed,2016,4,8736165,Tier-2,Medium
HealthTech,Pune,Series A,2013,4,20966822,Tier-2,Medium
HealthTech,Noida,Series A,2018,4,39261987,Tier-2,Medium
AI,Mumbai,Series B,2022,5,165182040,Tier-1,Large
AI,Chennai,Seed,2018,3,2307231,Tier-2,Large
FinTech,Chennai,Series B,2016,4,193380280,Tier-2,Large
EdTech,Chennai,Series C,2020,5,520264812,Tier-2,Small
SaaS,Hyderabad,Series B,2018,4,150359228,Tier-2,Large
AgriTech,Bangalore,Series B,2018,1,165998711,Tier-1,Small
EdTech,Bangalore,Series A,2016,5,46333932,Tier-1,Small
E-commerce,Noida,Pre-Seed,2014,1,1506129,Tier-2,Large
AI,Mumbai,Series A,2018,4,18224314,Tier-1,Large
HealthTech,Delhi,Series A,2023,3,18384399,Tier-1,Medium
HealthTech,Mumbai,Series B,2023,5,100381247,Tier-1,Medium
E-commerce,Bangalore,Series A,2012,1,32321702,Tier-1,Large
EdTech,Noida,Series A,2013,1,31685801,Tier-2,Small
HealthTech,Hyderabad,Series A,2015,3,14827578,Tier-2,Medium
EdTech,Mumbai,Seed,2016,5,5972443,Tier-1,Small
SaaS,Noida,Pre-Seed,2019,2,1801218,Tier-2,Large
E-commerce,Delhi,Series A,2017,1,43096832,Tier-1,Large
AgriTech,Pune,Pre-Seed,2013,5,1162300,Tier-2,Small
EdTech,Mumbai,Pre-Seed,2018,2,1320969,Tier-1,Small
SaaS,Noida,Series A,2023,5,44054817,Tier-2,Large
Logistics,Chennai,Series A,2012,4,26876061,Tier-2,Medium
Logistics,Delhi,Series A,2012,1,35074496,Tier-1,Medium
EdTech,Chennai,Series B,2021,2,66805467,Tier-2,Small
Logistics,Hyderabad,Pre-Seed,2014,3,1118185,Tier-2,Medium
EdTech,Bangalore,Seed,2011,3,4710618,Tier-1,Small
HealthTech,Mumbai,Series A,2010,4,13710623,Tier-1,Medium
FinTech,Noida,Series B,2018,4,100758396,Tier-2,Large
Logistics,Mumbai,Seed,2017,2,5756277,Tier-1,Medium
AI,Chennai,Pre-Seed,2021,1,1604779,Tier-2,Large
EdTech,Chennai,Series A,2012,1,20205996,Tier-2,Small
EdTech,Bangalore,Series B,2020,3,76816899,Tier-1,Small
EdTech,Noida,Seed,2014,4,4179495,Tier-2,Small
FinTech,Mumbai,Pre-Seed,2017,3,828985,Tier-1,Large
SaaS,Noida,Seed,2011,2,9860495,Tier-2,Large
Logistics,Bangalore,Pre-Seed,2016,3,592341,Tier-1,Medium
AgriTech,Chennai,Seed,2018,3,8289673,Tier-2,Small
AgriTech,Pune,Pre-Seed,2013,4,1695925,Tier-2,Small
E-commerce,Noida,Pre-Seed,2022,4,1956959,Tier-2,Large
HealthTech,Chennai,Seed,2011,1,8495895,Tier-2,Medium
FinTech,Delhi,Pre-Seed,2018,1,1575932,Tier-1,Large
SaaS,Chennai,Pre-Seed,2019,1,1489555,Tier-2,Large
EdTech,Chennai,Series B,2010,3,86032738,Tier-2,Small
SaaS,Noida,Pre-Seed,2015,3,744493,Tier-2,Large
FinTech,Pune,Series A,2017,5,34345156,Tier-2,Large
FinTech,Bangalore,Series B,2011,2,98449819,Tier-1,Large
FinTech,Delhi,Pre-Seed,2019,5,1660968,Tier-1,Large
E-commerce,Delhi,Pre-Seed,2023,2,1141765,Tier-1,Large
AI,Mumbai,Series A,2021,4,19005957,Tier-1,Large
HealthTech,Pune,Seed,2016,3,6112749,Tier-2,Medium
E-commerce,Hyderabad,Seed,2016,5,8464372,Tier-2,Large
E-commerce,Mumbai,Series B,2022,3,59730664,Tier-1,Large
Logistics,Mumbai,Pre-Seed,2012,5,1847543,Tier-1,Medium
AI,Mumbai,Series A,2019,1,15753533,Tier-1,Large
E-commerce,Delhi,Series B,2013,2,91926767,Tier-1,Large
FinTech,Bangalore,Pre-Seed,2017,1,1157032,Tier-1,Large
FinTech,Noida,Pre-Seed,2015,3,1975341,Tier-2,Large
Logistics,Chennai,Series A,2020,4,17683051,Tier-2,Medium
SaaS,Delhi,Series C,2022,4,592962186,Tier-1,Large
EdTech,Chennai,Pre-Seed,2022,1,1166189,Tier-2,Small
E-commerce,Chennai,Seed,2011,5,7223840,Tier-2,Large
EdTech,Hyderabad,Pre-Seed,2015,1,715207,Tier-2,Small
HealthTech,Noida,Seed,2016,4,2492134,Tier-2,Medium
AgriTech,Mumbai,Pre-Seed,2017,1,1735952,Tier-1,Small
FinTech,Hyderabad,Seed,2017,2,7129843,Tier-2,Large
SaaS,Mumbai,Series A,2017,1,25942426,Tier-1,Large
HealthTech,Delhi,Series C,2017,5,343237159,Tier-1,Medium
Logistics,Chennai,Series B,2015,3,100982935,Tier-2,Medium
SaaS,Hyderabad,Series B,2010,1,138956725,Tier-2,Large
AgriTech,Pune,Pre-Seed,2022,2,686766,Tier-2,Small
AgriTech,Delhi,Pre-Seed,2013,5,985226,Tier-1,Small
Logistics,Delhi,Series A,2011,2,20585725,Tier-1,Medium
AI,Pune,Seed,2022,5,9221316,Tier-2,Large
Logistics,Mumbai,Seed,2019,4,5884743,Tier-1,Medium
FinTech,Chennai,Pre-Seed,2016,4,1197487,Tier-2,Large
HealthTech,Mumbai,Seed,2010,3,2906053,Tier-1,Medium
AI,Mumbai,Pre-Seed,2014,3,1972889,Tier-1,Large
AgriTech,Delhi,Seed,2019,5,4580605,Tier-1,Small
HealthTech,Mumbai,Pre-Seed,2017,2,1159881,Tier-1,Medium
SaaS,Bangalore,Series B,2013,2,196460305,Tier-1,Large
AI,Pune,Pre-Seed,2016,1,1900143,Tier-2,Large
AI,Noida,Series B,2014,4,147086732,Tier-2,Large
FinTech,Pune,Series B,2010,1,187380110,Tier-2,Large
Logistics,Chennai,Series A,2020,3,34034987,Tier-2,Medium
EdTech,Pune,Series C,2020,4,653988755,Tier-2,Small
SaaS,Mumbai,Pre-Seed,2011,2,1741743,Tier-1,Large
SaaS,Mumbai,Series A,2014,4,38894049,Tier-1,Large
Logistics,Hyderabad,Series B,2022,3,126393018,Tier-2,Medium
AI,Chennai,Pre-Seed,2016,4,913070,Tier-2,Large
AI,Chennai,Series A,2016,3,43845702,Tier-2,Large
FinTech,Pune,Seed,2018,2,8144194,Tier-2,Large
EdTech,Mumbai,Seed,2012,5,6416468,Tier-1,Small
SaaS,Bangalore,Series B,2023,4,54026180,Tier-1,Large
AgriTech,Hyderabad,Seed,2013,5,3490289,Tier-2,Small
E-commerce,Bangalore,Pre-Seed,2023,3,1537726,Tier-1,Large
E-commerce,Mumbai,Series B,2012,4,139279628,Tier-1,Large
EdTech,Chennai,Pre-Seed,2022,2,1257289,Tier-2,Small
HealthTech,Chennai,Series B,2021,4,113970478,Tier-2,Medium
FinTech,Noida,Series C,2017,2,319613804,Tier-2,Large
EdTech,Bangalore,Series B,2021,3,158924004,Tier-1,Small
Logistics,Noida,Series A,2018,5,11097139,Tier-2,Medium
Logistics,Noida,Series A,2023,1,38428214,Tier-2,Medium
E-commerce,Delhi,Series A,2017,1,26302777,Tier-1,Large
AI,Mumbai,Seed,2011,4,7018119,Tier-1,Large
E-commerce,Chennai,Seed,2019,5,2088545,Tier-2,Large
AI,Pune,Seed,2010,2,7195798,Tier-2,Large
FinTech,Delhi,Series A,2022,1,13025105,Tier-1,Large
AI,Chennai,Series A,2014,5,39618077,Tier-2,Large
EdTech,Pune,Series A,2011,5,16799273,Tier-2,Small
AI,Chennai,Series A,2012,3,28906857,Tier-2,Large
HealthTech,Delhi,Series A,2018,1,41837316,Tier-1,Medium
Logistics,Bangalore,Series A,2012,3,49740958,Tier-1,Medium
EdTech,Mumbai,Pre-Seed,2010,5,1408266,Tier-1,Small
Logistics,Noida,Seed,2018,1,3702057,Tier-2,Medium
FinTech,Delhi,Seed,2011,2,8827638,Tier-1,Large
EdTech,Delhi,Seed,2019,4,3146454,Tier-1,Small
HealthTech,Noida,Pre-Seed,2015,5,1732497,Tier-2,Medium
FinTech,Chennai,Series A,2020,2,40157907,Tier-2,Large
E-commerce,Pune,Pre-Seed,2022,4,1684698,Tier-2,Large
HealthTech,Noida,Seed,2021,1,3814999,Tier-2,Medium
FinTech,Delhi,Series A,2023,2,49221994,Tier-1,Large
AgriTech,Mumbai,Pre-Seed,2020,2,1038045,Tier-1,Small
AI,Noida,Series A,2016,4,39762604,Tier-2,Large
EdTech,Noida,Series B,2018,2,56834577,Tier-2,Small
FinTech,Bangalore,Series A,2021,1,12556890,Tier-1,Large
EdTech,Pune,Series A,2021,1,16135635,Tier-2,Small
AI,Bangalore,Series A,2017,5,40359008,Tier-1,Large
FinTech,Bangalore,Pre-Seed,2015,4,1291568,Tier-1,Large
E-commerce,Mumbai,Series A,2013,3,17289239,Tier-1,Large
AgriTech,Chennai,Seed,2023,1,4046008,Tier-2,Small
AgriTech,Pune,Pre-Seed,2013,3,626674,Tier-2,Small
HealthTech,Pune,Pre-Seed,2023,2,503182,Tier-2,Medium
FinTech,Noida,Series A,2023,4,15144847,Tier-2,Large
AI,Mumbai,Series A,2013,4,30148800,Tier-1,Large
FinTech,Pune,Series B,2020,1,158685590,Tier-2,Large
EdTech,Delhi,Seed,2019,1,4008194,Tier-1,Small
SaaS,Hyderabad,Seed,2011,4,5021499,Tier-2,Large
Logistics,Noida,Series A,2016,3,24281581,Tier-2,Medium
FinTech,Hyderabad,Series A,2010,4,39666090,Tier-2,Large
AgriTech,Hyderabad,Seed,2014,5,3963029,Tier-2,Small
AgriTech,Bangalore,Seed,2020,4,5470192,Tier-1,Small
Logistics,Pune,Seed,2013,3,9406772,Tier-2,Medium
AgriTech,Noida,Seed,2011,2,2227040,Tier-2,Small
E-commerce,Mumbai,Series A,2018,3,28173157,Tier-1,Large
FinTech,Pune,Seed,2021,4,8686449,Tier-2,Large
HealthTech,Mumbai,Pre-Seed,2010,4,1440332,Tier-1,Medium
FinTech,Pune,Pre-Seed,2013,2,649878,Tier-2,Large
SaaS,Noida,Series B,2015,5,82072615,Tier-2,Large
AgriTech,Noida,Pre-Seed,2013,1,811885,Tier-2,Small
EdTech,Bangalore,Pre-Seed,2019,3,585679,Tier-1,Small
AgriTech,Noida,Series A,2019,3,34585433,Tier-2,Small
FinTech,Delhi,Series A,2013,4,41637325,Tier-1,Large
E-commerce,Hyderabad,Series A,2011,3,22956663,Tier-2,Large
AI,Hyderabad,Seed,2020,2,7717333,Tier-2,Large
FinTech,Pune,Series C,2021,5,738676970,Tier-2,Large
FinTech,Bangalore,Pre-Seed,2019,4,1355082,Tier-1,Large
HealthTech,Hyderabad,Seed,2018,1,6788476,Tier-2,Medium
E-commerce,Pune,Series A,2018,2,38260878,Tier-2,Large
SaaS,Noida,Pre-Seed,2010,1,1052214,Tier-2,Large
AI,Chennai,Seed,2022,3,6923989,Tier-2,Large
AgriTech,Pune,Series A,2010,3,38508296,Tier-2,Small
EdTech,Mumbai,Seed,2023,5,2296023,Tier-1,Small
FinTech,Hyderabad,Series B,2017,1,95421751,Tier-2,Large
SaaS,Hyderabad,Series A,2018,2,31537118,Tier-2,Large
AI,Chennai,Series A,2020,1,24744832,Tier-2,Large
EdTech,Noida,Series B,2012,1,161785960,Tier-2,Small
SaaS,Delhi,Series A,2022,1,10007333,Tier-1,Large
E-commerce,Pune,Series A,2012,1,28591801,Tier-2,Large
E-commerce,Delhi,Series A,2011,3,25287864,Tier-1,Large
AI,Pune,Series A,2018,5,10704332,Tier-2,Large
AgriTech,Chennai,Series A,2011,2,16943607,Tier-2,Small
Logistics,Delhi,Pre-Seed,2016,4,1096100,Tier-1,Medium
EdTech,Bangalore,Series B,2022,3,151226687,Tier-1,Small
E-commerce,Chennai,Seed,2011,3,4245893,Tier-2,Large
Logistics,Noida,Seed,2023,2,7240286,Tier-2,Medium
AI,Pune,Pre-Seed,2019,2,973247,Tier-2,Large
E-commerce,Mumbai,Series A,2019,5,14564697,Tier-1,Large
E-commerce,Noida,Series C,2015,4,324007153,Tier-2,Large
SaaS,Noida,Series B,2012,3,98503582,Tier-2,Large
Logistics,Mumbai,Series A,2010,5,32029210,Tier-1,Medium
SaaS,Mumbai,Series A,2015,3,17075439,Tier-1,Large
E-commerce,Pune,Seed,2011,5,3410166,Tier-2,Large
Logistics,Noida,Pre-Seed,2016,5,1095666,Tier-2,Medium
HealthTech,Hyderabad,Seed,2021,4,8316211,Tier-2,Medium
Logistics,Chennai,Seed,2018,1,3488584,Tier-2,Medium
SaaS,Chennai,Series B,2010,3,57743159,Tier-2,Large
EdTech,Delhi,Seed,2013,5,2820398,Tier-1,Small
AI,Chennai,Series A,2014,5,16646516,Tier-2,Large
AI,Noida,Series B,2022,2,108085738,Tier-2,Large
AgriTech,Chennai,Seed,2018,1,2245524,Tier-2,Small
EdTech,Noida,Seed,2012,2,6510486,Tier-2,Small
EdTech,Delhi,Seed,2015,1,4917439,Tier-1,Small
EdTech,Chennai,Seed,2014,4,6998711,Tier-2,Small
AgriTech,Chennai,Series A,2014,4,43399634,Tier-2,Small
EdTech,Bangalore,Seed,2011,2,2431344,Tier-1,Small
FinTech,Pune,Series A,2019,2,24402238,Tier-2,Large
AgriTech,Delhi,Series B,2014,1,111958390,Tier-1,Small
AI,Bangalore,Seed,2012,1,9995241,Tier-1,Large
FinTech,Hyderabad,Pre-Seed,2011,2,911898,Tier-2,Large
AgriTech,Delhi,Series A,2023,2,36713238,Tier-1,Small
E-commerce,Noida,Seed,2020,5,4552677,Tier-2,Large
E-commerce,Pune,Seed,2015,3,8117722,Tier-2,Large
AI,Chennai,Series A,2023,2,19690589,Tier-2,Large
E-commerce,Noida,Seed,2010,1,3785599,Tier-2,Large
EdTech,Chennai,Series B,2015,5,152333403,Tier-2,Small
AgriTech,Bangalore,Seed,2023,4,3267844,Tier-1,Small
FinTech,Bangalore,Seed,2017,4,9507078,Tier-1,Large
EdTech,Hyderabad,Series B,2012,4,109946768,Tier-2,Small
E-commerce,Hyderabad,Pre-Seed,2019,5,1707947,Tier-2,Large
SaaS,Pune,Pre-Seed,2016,2,678438,Tier-2,Large
Logistics,Chennai,Series B,2023,3,171367634,Tier-2,Medium
FinTech,Noida,Pre-Seed,2021,4,1067786,Tier-2,Large
EdTech,Mumbai,Pre-Seed,2012,2,1324867,Tier-1,Small
AgriTech,Noida,Seed,2022,4,7353361,Tier-2,Small
AI,Hyderabad,Pre-Seed,2023,4,1990878,Tier-2,Large
EdTech,Chennai,Series A,2015,4,24628118,Tier-2,Small
SaaS,Noida,Seed,2016,1,6647819,Tier-2,Large
E-commerce,Noida,Series A,2020,5,35343439,Tier-2,Large
FinTech,Hyderabad,Seed,2012,5,4231987,Tier-2,Large
AI,Noida,Series B,2020,1,96021057,Tier-2,Large
FinTech,Noida,Seed,2014,4,3211065,Tier-2,Large
AI,Delhi,Series A,2023,5,18066471,Tier-1,Large
Logistics,Bangalore,Series B,2012,5,167943702,Tier-1,Medium
AgriTech,Chennai,Seed,2013,5,6114209,Tier-2,Small
FinTech,Noida,Pre-Seed,2014,4,548303,Tier-2,Large
E-commerce,Hyderabad,Pre-Seed,2021,4,1657119,Tier-2,Large
AgriTech,Bangalore,Series C,2016,5,590707392,Tier-1,Small
AgriTech,Noida,Series A,2013,3,25039292,Tier-2,Small
Logistics,Noida,Series B,2013,2,57944392,Tier-2,Medium
AI,Mumbai,Series A,2022,2,27358411,Tier-1,Large
HealthTech,Hyderabad,Seed,2011,4,9414646,Tier-2,Medium
FinTech,Chennai,Pre-Seed,2014,3,625038,Tier-2,Large
FinTech,Delhi,Series B,2012,3,178269277,Tier-1,Large
EdTech,Bangalore,Seed,2023,3,6675548,Tier-1,Small
AI,Bangalore,Seed,2013,1,5515569,Tier-1,Large
SaaS,Delhi,Series A,2020,1,14344185,Tier-1,Large
HealthTech,Chennai,Pre-Seed,2021,5,1022504,Tier-2,Medium
E-commerce,Pune,Seed,2017,3,5878541,Tier-2,Large
EdTech,Mumbai,Series A,2013,2,39762404,Tier-1,Small
Logistics,Pune,Pre-Seed,2015,1,1501044,Tier-2,Medium
HealthTech,Noida,Pre-Seed,2012,4,945803,Tier-2,Medium
AI,Delhi,Seed,2010,4,8115003,Tier-1,Large
HealthTech,Mumbai,Series A,2013,3,48937546,Tier-1,Medium
Logistics,Chennai,Pre-Seed,2015,5,832926,Tier-2,Medium
AgriTech,Hyderabad,Pre-Seed,2018,3,1013991,Tier-2,Small
FinTech,Hyderabad,Series C,2014,4,366471166,Tier-2,Large
AgriTech,Pune,Pre-Seed,2021,4,1275584,Tier-2,Small
FinTech,Chennai,Pre-Seed,2016,5,1129431,Tier-2,Large
EdTech,Mumbai,Seed,2021,1,5685990,Tier-1,Small
Logistics,Pune,Pre-Seed,2023,5,579734,Tier-2,Medium
AI,Delhi,Series A,2022,2,27425998,Tier-1,Large
AI,Pune,Series B,2020,4,74377830,Tier-2,Large
HealthTech,Chennai,Seed,2020,2,3106361,Tier-2,Medium
EdTech,Noida,Series A,2010,4,16142482,Tier-2,Small
AI,Chennai,Series B,2017,4,111197095,Tier-2,Large
SaaS,Hyderabad,Pre-Seed,2022,3,1697385,Tier-2,Large
SaaS,Delhi,Seed,2013,4,2470079,Tier-1,Large
AgriTech,Hyderabad,Series A,2017,4,18099864,Tier-2,Small
FinTech,Mumbai,Seed,2018,4,6857468,Tier-1,Large
HealthTech,Mumbai,Series A,2012,4,16282169,Tier-1,Medium
E-commerce,Bangalore,Series A,2013,3,10623564,Tier-1,Large
Logistics,Chennai,Seed,2015,3,4722907,Tier-2,Medium
FinTech,Delhi,Pre-Seed,2012,2,1258950,Tier-1,Large
EdTech,Delhi,Pre-Seed,2018,2,1783516,Tier-1,Small
AI,Hyderabad,Seed,2012,2,4253642,Tier-2,Large
FinTech,Pune,Pre-Seed,2023,5,1715983,Tier-2,Large
E-commerce,Pune,Series A,2016,3,23990870,Tier-2,Large
E-commerce,Hyderabad,Seed,2016,3,5261703,Tier-2,Large
SaaS,Noida,Series A,2020,1,33596522,Tier-2,Large
EdTech,Pune,Seed,2014,1,8760062,Tier-2,Small
FinTech,Delhi,Series A,2015,1,20424567,Tier-1,Large
HealthTech,Hyderabad,Series B,2010,2,68212548,Tier-2,Medium
FinTech,Pune,Series B,2021,4,186988199,Tier-2,Large
SaaS,Bangalore,Seed,2012,5,7315359,Tier-1,Large
AgriTech,Chennai,Pre-Seed,2012,3,1728087,Tier-2,Small
E-commerce,Bangalore,Seed,2011,2,7625575,Tier-1,Large
EdTech,Pune,Seed,2010,5,4569297,Tier-2,Small
EdTech,Mumbai,Series C,2018,3,489634960,Tier-1,Small
HealthTech,Delhi,Series A,2013,5,49846946,Tier-1,Medium
EdTech,Bangalore,Series A,2017,5,39486166,Tier-1,Small
SaaS,Bangalore,Series A,2016,3,32557705,Tier-1,Large
SaaS,Hyderabad,Series A,2022,5,32892884,Tier-2,Large
SaaS,Hyderabad,Series A,2021,1,18082939,Tier-2,Large
EdTech,Hyderabad,Pre-Seed,2015,1,1359913,Tier-2,Small
EdTech,Pune,Pre-Seed,2010,5,1603054,Tier-2,Small
SaaS,Noida,Series A,2012,2,25379717,Tier-2,Large
EdTech,Noida,Series B,2014,4,157949577,Tier-2,Small
Logistics,Mumbai,Seed,2022,3,4776600,Tier-1,Medium
EdTech,Bangalore,Seed,2010,2,8856857,Tier-1,Small
Logistics,Chennai,Seed,2010,4,2204243,Tier-2,Medium
E-commerce,Hyderabad,Seed,2021,3,6318565,Tier-2,Large
FinTech,Mumbai,Pre-Seed,2019,4,657959,Tier-1,Large
AI,Pune,Series A,2018,3,15128613,Tier-2,Large
Logistics,Mumbai,Seed,2010,1,2336080,Tier-1,Medium
Logistics,Hyderabad,Seed,2013,2,7087698,Tier-2,Medium
EdTech,Delhi,Pre-Seed,2017,4,1055961,Tier-1,Small
AI,Bangalore,Series A,2018,1,43498994,Tier-1,Large
AgriTech,Hyderabad,Pre-Seed,2015,2,1108186,Tier-2,Small
AI,Chennai,Seed,2021,5,3600033,Tier-2,Large
E-commerce,Bangalore,Seed,2017,2,8245754,Tier-1,Large
Logistics,Mumbai,Seed,2015,2,3681023,Tier-1,Medium
EdTech,Noida,Pre-Seed,2017,1,1615935,Tier-2,Small
SaaS,Chennai,Series B,2016,1,155972523,Tier-2,Large
AI,Bangalore,Seed,2018,4,7940566,Tier-1,Large
EdTech,Chennai,Series A,2020,4,42630410,Tier-2,Small
HealthTech,Mumbai,Series A,2018,5,36548640,Tier-1,Medium
AgriTech,Hyderabad,Series A,2011,1,47102594,Tier-2,Small
SaaS,Noida,Series A,2014,1,15834610,Tier-2,Large
HealthTech,Chennai,Series B,2021,2,140405654,Tier-2,Medium
HealthTech,Hyderabad,Series B,2011,2,102901331,Tier-2,Medium
AI,Noida,Seed,2015,5,5951013,Tier-2,Large
HealthTech,Mumbai,Series A,2013,2,10312772,Tier-1,Medium
E-commerce,Noida,Pre-Seed,2017,2,1090529,Tier-2,Large
E-commerce,Mumbai,Pre-Seed,2019,4,931845,Tier-1,Large
AI,Chennai,Seed,2013,5,5871127,Tier-2,Large
EdTech,Chennai,Series B,2015,4,190580916,Tier-2,Small
FinTech,Mumbai,Series A,2021,5,46490415,Tier-1,Large
EdTech,Chennai,Series A,2023,4,38235110,Tier-2,Small
EdTech,Chennai,Pre-Seed,2022,4,1388061,Tier-2,Small
EdTech,Chennai,Seed,2010,5,7173794,Tier-2,Small
EdTech,Pune,Seed,2013,2,3925530,Tier-2,Small
SaaS,Chennai,Series A,2013,3,28429019,Tier-2,Large
FinTech,Bangalore,Pre-Seed,2015,1,1312306,Tier-1,Large
SaaS,Mumbai,Seed,2017,5,8352383,Tier-1,Large
HealthTech,Mumbai,Series B,2022,3,166887527,Tier-1,Medium
AgriTech,Delhi,Series B,2023,4,60036702,Tier-1,Small
EdTech,Hyderabad,Series B,2023,2,82469812,Tier-2,Small
AgriTech,Delhi,Seed,2013,4,7731511,Tier-1,Small
E-commerce,Chennai,Series B,2013,5,186747748,Tier-2,Large
AI,Chennai,Series B,2012,3,119473877,Tier-2,Large
AI,Noida,Series B,2020,4,174092673,Tier-2,Large
SaaS,Bangalore,Series B,2023,2,67438380,Tier-1,Large
SaaS,Bangalore,Series B,2020,5,56850493,Tier-1,Large
E-commerce,Bangalore,Pre-Seed,2022,5,1236034,Tier-1,Large
EdTech,Bangalore,Pre-Seed,2017,4,987506,Tier-1,Small
AgriTech,Bangalore,Series A,2015,2,22621508,Tier-1,Small
Logistics,Bangalore,Series A,2013,5,29037180,Tier-1,Medium
AgriTech,Bangalore,Seed,2022,5,3211808,Tier-1,Small
FinTech,Bangalore,Series A,2023,4,20515098,Tier-1,Large
HealthTech,Noida,Pre-Seed,2014,3,697365,Tier-2,Medium
AI,Pune,Pre-Seed,2011,1,1823641,Tier-2,Large
HealthTech,Bangalore,Seed,2018,2,9372305,Tier-1,Medium
FinTech,Mumbai,Pre-Seed,2017,5,1774664,Tier-1,Large
SaaS,Bangalore,Series A,2011,5,47681515,Tier-1,Large
AgriTech,Hyderabad,Series B,2017,5,67627538,Tier-2,Small
AI,Bangalore,Series A,2015,3,28097034,Tier-1,Large
HealthTech,Pune,Series A,2023,1,27134817,Tier-2,Medium
Logistics,Noida,Pre-Seed,2023,4,1101103,Tier-2,Medium
SaaS,Chennai,Seed,2010,2,8268945,Tier-2,Large
FinTech,Pune,Series B,2019,3,181671201,Tier-2,Large
Logistics,Pune,Series A,2013,5,30516540,Tier-2,Medium
HealthTech,Chennai,Pre-Seed,2014,1,1742443,Tier-2,Medium
Logistics,Bangalore,Series B,2011,1,57149963,Tier-1,Medium
AgriTech,Noida,Series C,2019,1,385971865,Tier-2,Small
EdTech,Noida,Seed,2021,4,9598684,Tier-2,Small
Logistics,Bangalore,Pre-Seed,2014,2,1329693,Tier-1,Medium
SaaS,Chennai,Seed,2010,5,3112136,Tier-2,Large
FinTech,Hyderabad,Pre-Seed,2011,3,670221,Tier-2,Large
HealthTech,Delhi,Series B,2010,3,180693789,Tier-1,Medium
AgriTech,Mumbai,Series B,2020,3,192619914,Tier-1,Small
EdTech,Chennai,Series A,2023,3,33107487,Tier-2,Small
EdTech,Bangalore,Series A,2011,5,17585337,Tier-1,Small
FinTech,Mumbai,Series A,2022,2,23522802,Tier-1,Large
E-commerce,Bangalore,Seed,2020,5,4510255,Tier-1,Large
AgriTech,Delhi,Series A,2020,3,13124794,Tier-1,Small
AgriTech,Delhi,Series B,2011,2,66719977,Tier-1,Small
AI,Chennai,Series B,2016,4,143939171,Tier-2,Large
FinTech,Mumbai,Pre-Seed,2016,2,1388934,Tier-1,Large
EdTech,Pune,Seed,2016,4,6031210,Tier-2,Small
EdTech,Noida,Seed,2011,5,6329325,Tier-2,Small
Logistics,Noida,Series A,2023,4,22185718,Tier-2,Medium
FinTech,Mumbai,Seed,2012,4,5244046,Tier-1,Large
E-commerce,Pune,Seed,2011,2,6675373,Tier-2,Large
AI,Delhi,Series A,2023,5,40421168,Tier-1,Large
HealthTech,Bangalore,Seed,2014,2,7583966,Tier-1,Medium
FinTech,Noida,Seed,2022,1,7146878,Tier-2,Large
AI,Pune,Series B,2012,4,55436164,Tier-2,Large
AgriTech,Pune,Pre-Seed,2019,2,1692923,Tier-2,Small
AI,Chennai,Pre-Seed,2015,5,1438343,Tier-2,Large
Logistics,Hyderabad,Pre-Seed,2015,2,1121130,Tier-2,Medium
SaaS,Delhi,Pre-Seed,2020,1,1698384,Tier-1,Large
EdTech,Pune,Seed,2014,4,3933364,Tier-2,Small
Logistics,Delhi,Series A,2011,1,42859200,Tier-1,Medium
HealthTech,Chennai,Seed,2023,1,8114853,Tier-2,Medium
FinTech,Bangalore,Pre-Seed,2017,4,772978,Tier-1,Large
Logistics,Mumbai,Pre-Seed,2022,1,898129,Tier-1,Medium
EdTech,Delhi,Seed,2015,4,4906458,Tier-1,Small
SaaS,Chennai,Series A,2011,4,10973943,Tier-2,Large
Logistics,Chennai,Seed,2021,3,7133138,Tier-2,Medium
SaaS,Chennai,Pre-Seed,2022,5,1655970,Tier-2,Large
Logistics,Noida,Pre-Seed,2010,2,1239843,Tier-2,Medium
EdTech,Noida,Pre-Seed,2015,2,1017737,Tier-2,Small
E-commerce,Noida,Pre-Seed,2023,5,932067,Tier-2,Large
AI,Mumbai,Series A,2011,1,13888590,Tier-1,Large
FinTech,Noida,Seed,2013,5,8070429,Tier-2,Large
FinTech,Delhi,Pre-Seed,2021,4,1598868,Tier-1,Large
FinTech,Pune,Seed,2013,4,5199219,Tier-2,Large
